,username,date,title,replies,views,text,Year

60,Phyllis,2008-08-29,Am I Actually A Fantasy Fan?,23,2000,"Am I Actually A Fantasy Fan? I'm having an identity crisis. I feel as if I'm 'coming out of the fantasy closet' and turning into a filthy fantasy hater. 

I've read the following fantasy novels through out my life:

Redemption of Althalus - even when I was 13 I could tell that this was a badly and immaturely written story.
Magician, Silverthorn, The Darkness at Sethanon (Raymond E Feist)  - thought it was good at the time, but looking back I was really forcing myself to like it.  
The Lion, Witch, Wardrobe- C.S Lewis can go stick a pineapple where the sun don't shine for this christian propaganda crap fest.
The Wheel of Time (Jordan)- I put this down about 50 pages into the first book due to incredibly crap characters and even crapper bad guys. 
Some other 'girl dressed as a boy who trains to be a knight under disguise and shags three blokes' story that I don't know the name of.
The View from the Mirror quartet - Ian Irvine - I actually didn't mind these, but I had to force myself through some parts. 
Wit'ch Fire series - James Clemens - Something that looking back, only entertained me because I was 14.

After reading some true classics (The Once and Future King, 1984, American Psycho and Lady Chatterley's Lover) I've come to realise that the majority of these books were pretty crap, and that I mostly forced myself to finish them just so that I knew what happened in the end (you know when you get to the point of no return. You're not that interested, but you can't just cut your losses either). They were basically a waste of time, and as I'm mortal, there is only limited book reading time left. 

These however, were good or great:

Harry Potter
Deltora Quest (I was 11 when I read it)
LOTR
Daughter/Servant/Mistress of the Empire (wasn't too bad)
The Vampire LeStat
The Well of Echoes - Ian Irvine

Yet I know that I love the idea of the fantasy genre. I love the imagination, the limitless possibilities. Am I just missing the 'good books'? Is there a wing of fantasy that would appeal to me better? I don't want to turn my back on this genre, I want it to be better. I'm appealing to people who may have been exposed to far more of the genre and direct me to the good areas based on their broad taste.

(I was thinking about reading Songs of Ice and Fire, should I attempt this?)

Does anyone else have this problem?",2008

61,Zsinj,2003-11-21,"What are some of the most touching, emotionally poignant fantasy novels you have read",66,15000,"I'm sure I'm not the only one around here who has read a fantasy novel that has brought me close to shedding a tear or two. Heres my list:
  
       ""The Hobbit"" by J.R.R. Tolkien
       ""The LOTR Trilogy"" by J.R.R. Tolkien
       ""The Memory, Sorrow, and Thorn Trilogy"" by Tad Williams
       ""The Otherland Series"" by Tad Williams (technically it's sci-fi/cyberpunk, but it has a lot of fantasy elements in it)
       ""The Tyrants and Kings Trilogy"" by John Marco
       ""The Dragonlance Chronicles and Legends Trilogies"" by Weis and Hickman
       ""The Elric Saga"" by Michael Moorcock",2003

62,Werthead,2008-05-11,Interesting book poll result,31,2000,"I recently carried out a poll of the Best SF&F Authors on the website I co-moderate. 85 people replied with suggestions of 101 authors. I found the results interesting.

The Top Ten was as follows:

1) George RR Martin
2) JRR Tolkien
3) R. Scott Bakker
4) Gene Wolfe
5) Robin Hobb
6) China Mieville
7) Steven Erikson
8) Stephen R. Donaldson
9) Joe Abercrombie
10) Frank Herbert

Followed by (in order): Scott Lynch, Roger Zelazny, Ursula K. LeGuin, Philip K. Dick, Jack Vance, Guy Gavriel Kay, Terry Pratchett, Christopher Priest, Dan Simmons, Neil Gaiman, Douglas Adams, Jorge Luis Borges, Robert Jordan, Isaac Asimov, Italo Calvino, Arthur C. Clarke, Mervyn Peak, Steve Brust, Orson Scott Card, Peter F. Hamilton, Richard Morgan, Umberto Eco, CS Lewis, Raymond E. Feist, Jim Butcher, Thomas Pynchon, Neal Stephenson, Graham Joyce, Lois McMaster Bujol, Jonathan Carrol, Michael Chabon, Harlan Ellison, Alastair Reynolds, Robert Heinlein, Matthew Stover, Haruki Murakami, HP Lovecraft, Connie Willis, Greg Egan, David Gemmell, Patrick Suskind, Bram Stoker, George Orwell, Alan Moore, Tim Powers, Arkady & Boris Strugatsky, Catheryn Valente, Margaret Attwood, Bulgakov, Walter M. Miller, Anne McCaffrey, Stephen King, Charlie Huston, Tad Williams, CS Friedman, Andrzej Sapkowski, Theodore Sturgeon, HG Wells, Michelle West, Richard Adams, Amanda Ashley, Franz Kafka, Milan Kundera, Greg Bear, Edward Whittemore, Octavia Butler, Ben Bova, David B. Coe, William Gibson, Julian May, Ian McDonald, Ian McLeod, Michael Moorcock, Garth Nix, Philip Pullman, Jeff VanderMeer, Iain M. Banks, Clive Barker, Ray Bradbury, Joy Dara, David Eddings, Glen Cook, Jonathan Lethem, George MacDonald, Robin McKinley, Patricia McKillip, Edgar Allen Poe, Frederick Pohl, Kurt Vonnegut and Margaret Weis & Tracy Hickman. Phew!

Whilst obstinately a GRRM fansite, Westeros is notable for having an extremely varied and active 'other literature' section, and it was surprising that most people did not vote GRRM as their number one choice. That said, he was just about the only author everyone voted for, explaining his landslide win (he was 100 points above Tolkien, who in turn was about 100 points above the next person).

Major surprises: Bakker getting such a high placing. He's a bit of a Marmite author and doesn't have the highest profile. However, his work has definitely struck a major chord among those who have read him, and he got a lot of top scores.

Joe Abercrombie was a bit of an eye-opener as the newest author on the list. However, his debut trilogy has attracted a colossal amount of attention and the pitch-perfect ending to the series (something very few authors, even the best ones, can handle correctly) is probably the single thing most responsible for getting him on the list.

Major upsets: very low placings for Gemmell, Banks and Bradbury. No votes at all for Rowling, Baxter or Rankin.

It was an interesting vote. Most book-based websites are heavily US-oriented or heavily UK-based, but this one is fairly evenly balanced between the US, UK, Europe and Australia. It definitely shows that fantasy is in the ascendence over SF at the moment (although GRRM, Bakker, Donaldson and Wolfe are all SF authors as well as fantasy ones, the highest placing for a 'pure' SF author is tenth), which is something I think we already knew.",2008

63,algernoninc,2008-03-16,History Books for the fantasy readers,16,1000,"Inspired by a recent thread on SF for fantasy aficionados, I'm trying now to identify some fat reads to insert between my epic fantasy series.
Basically, if you take the magic out of the equation you are left with political plotting, quests for secret items, battles and duels between heroes, detailed worldbuilding, coming of age teenagers finding their place in the greater scheme of things, and so on.
So I'm looking for some detailed historical fiction, with a complex storyline and enough action, large cast of characters, etc. For example:
Ken Follett - Pillars of the Earth
James Clavell - Shogun
Bernard Cornwell - Grail Quest [the one with the archer, not the Sharpe books, which I found too lightweight]
Alexandre Dumas - The Musketeers books

I was hoping you can have some less obvious titles. I understand ""The once and Future King"" by T.H. White is very good for Arthurian period, but I'm not sure it has a good pace.",2008

64,Yobmod,2008-02-13,"Amazon's ""best"" of 2007",16,4000,"I just noticed these 2 lists, and thought they were interesting, both in how they differ so much from each other, and include books that almost no one here discusses. The editors list shows more variety than the lists from here, and the bestsellers are all from long-established authors or long series. And no overlap! Seems to be a choice between Good or Popular, clearly both are not possible Editor recomendations:The Terror: A Novel - Dan SimmonsBrasyl - Ian McDonaldTerritory - Emma BullThe Traitor - Michael CiscoSpaceman Blues: A Love Song - Brian Francis SlatteryShelter - Susan PalwickThe Name of the Wind - Patrick RothfussThirteen - Richard K. MorganTin House: Fantastic Women - Aimee BenderBest-Selling:1. The Children of Hurin - J.R.R. Tolkien2. The Harlequin - Laurell K. Hamilton3. White Night - Jim Butcher4. Spook Country - William Gibson5. Sandworms of Dune - Herbert & Anderson6. Blood Bound - Patricia Briggs7. For a Few Demons More - Kim Harrison8. A Lick of Frost - Laurell K. Hamilton9. Confessor - Terry Goodkind10. Making Money - Terry PratchettFor me, the top three editors choices are most interesting. Anyone read Emma Bull?",2008

65,ben1xy,2008-01-22,Arthurian Books,0,416,"Hi everyone, i'll be placing a bulk order on Amazon soon and i am hoping to get all my books at one go. Anyway, i have always been interested by Arthurian legends. Thus far, i've only read the Once and Future King by TH White. I also have a copy of the Mist of Avalon.

What other books would be good additions to what i've read thus far? Help appreciated",2008

66,anphrax,2007-11-26,In Need Of....,31,4000,"I have just recently discovered my love for reading again and I have been hooked for a couple months. The only time I am able to put a book down is if I ignore that it is there.

There are a couple things you should keep in mind: I can only read one book at a time. I enjoy only SF, SteamPunk (cyberpunk w/e), and Fantasy. I am not a huge fan of the popular books, but I don't know of very many authors so I can go for pretty much anything.

Can anyone suggest a perfect Fantasy book for me? I like swords, magic, and cute girls.

Cheers",2007

67,Hobbit,2007-09-22,Article: Terry Brooks: The Magic Works,30,5000,"Thought this might be useful.Here is a copy of an article written by myself for the Souvenir Book of the British Fantasy Convention 2007 about its Guest of Honour, Terry Brooks.Might be a nice summary of details.--------------------------------------------------------------------It could be said that an author of 26 novels, with US sales of over 25 million and a career of 30 years might need no more introduction. However, for those who might not know, Terence Dean ‘Terry’ Brooks is a globally recognised fantasy writer whose books regularly appear on the New York Times bestseller lists. In fact, in 1977 his first published book, The Sword of Shannara, was the first fantasy book to ever appear on the lists and remained there for over five months. All of his published books remain in print. In terms of global sales, Terry ranks as the fourth bestselling Fantasy author worldwide, behind only J.R.R. Tolkien, J.K. Rowling and C.S Lewis. The importance of The Sword of Shannara on the growth of Fantasy as a genre can’t be overstated. In my own case, back in the oh-so-barren wilderness of UK Fantasy in the seventies, there was very little Fantasy to find. As (I was then), a young teenager, frantically searching libraries and bookshops for new Fantasy to read, there was very little, certainly by today’s standards. To my recall there was Ursula K. LeGuin’s Earthsea series, T.H. White’s The Once and Future King, Tolkien’s The Hobbit and Lord of the Rings, of course (but no Silmarillion yet, which appeared in its novel form in the same year), the new arrival of Stephen Donaldson’s Thomas Covenant and…. that was about it.And then there was the phenomenon of The Sword of Shannara. For fans of Fantasy, there was a lot to like. The story involved a band of heroes, (led by half-elf Shea Ohmsford), fighting for good against difficult foes, whilst searching for a mystical sword which would defeat the evil Warlock Lord. Lighter in tone than Donaldson and Tolkien, there were nevertheless all the elements of an exciting adventure, with likable (and dislikable) characters, elves, orcs, magic spells and powers, prophecies, strange places and, (perhaps most excitingly for a young adolescent male), a sense of direct action and purpose. Terry has said about Sword that: ‘….in 1965 I read J. R. R. Tolkien’s The Lord of the Rings, and I thought that maybe I had found what I was looking for. I would set my adventure story in an imaginary world, a vast, sprawling, mythical world like that of Tolkien, filled with magic that had replaced science and races that had evolved from Man. But I was not Tolkien and did not share his background in academia or his interest in cultural study. So I would eliminate the poetry and songs, the digressions on the ways and habits of types of characters, and the appendices of language and backstory that characterized and informed Tolkien’s work. I would write the sort of straightforward adventure story that barrelled ahead, picking up speed as it went, compelling a turning of pages until there were no more pages to be turned.’ (page 188, Sometimes the Magic Works.) The book plot was, admittedly, similar to Tolkien, but an engagingly rewritten one – easy to read and understand. For my teenage self, the pages flew by with narrow escapes, vigorous battles and apocalyptic overtones. My hungry teenage mind saw this as a huge block of accessible, fast-moving and lively high fantasy.This was clearly noticed by others than myself. Marketed in the US at first as ‘a book to read after you’ve read Lord of the Rings’, the book was a global sales phenomenon. Sales of over a million were reported in the US, whilst in the UK (admittedly a much smaller market) sales were very strong. Lester Del Rey, editor at Ballantine Books, used the book to launch in the US the very successful Ballantine Del Rey imprint, still a major book publisher today, and the publisher Terry is still signed to in the US.With the enormous popularity of The Sword of Shannara, other Shannara books from Terry soon followed, extending and expanding the series. The Elfstones of Shannara (1982) and The Wishsong of Shannara (1985) continued the story of the Ohmsfords. In Elfstones the grandson of Shea Ohmsford, Wil, uses the eponymous stones to overcome another challenge, but by doing so, the blood of Wil’s descendants is altered, resulting in his children being born with magic in their blood. Consequently, their skills are needed repeatedly through future events.  The Heritage of Shannara sequence – a continuous sequence composed of The Scions of Shannara (1990), The Druid of Shannara (1991) The Elf Queen of Shannara (1992) and The Talismans of Shannara (1993) - is a continuation of the story 300 years after the original trilogy. The First King of Shannara (1996) is a prequel to the first trilogy, dealing with the eponymous Jerle Shannara of the title.Later series, such as The Voyage of the Jerle Shannara trilogy - Ilse Witch (2000), Antrax (2001), Morgawr (2002) – jump ahead to continue to tell the tale of Shannara in future generations: in this case, 130 years after The Heritage of Shannara sequence. Similarly, the High Druid of Shannara trilogy (Jarka Ruus (2003), Tanequil (2004) and Straken (2005) is set 20 years after the events of The Voyage of the Jerle Shannara series. As the series has progressed, prehistory has been recounted and different aspects of Terry’s world developed: the history and structure of the Druids, the backstory of Terry’s Elves, Dwarves, Trolls and Gnomes as well as the expansion of the Four Lands, for example - to the point where in the last few books there have been subtle developments blurring the boundaries between SF and Fantasy. Throughout all of this lengthy and increasingly intricate series, fans have been introduced to Fantasy by it, enjoyed it and (perhaps most importantly) stayed, demanding more from Terry as time has gone on. The use of keystone character values and mythological events throughout, a lively pace, the detailed world-building, the smooth style and deceptively complex use of traditional epic fantasy themes have meant that, as the number of Terry’s fans have increased, his influence on the genre and other writers has been enormous. Other authors have also spoken of Terry’s importance. Philip Pullman, author of Northern Lights / The Golden Compass, has said of Terry, ‘Terry’s place is at the head of the fantasy world’. He has further been described as ‘the godfather of American fantasy’ and may therefore be partly responsible for the healthy growth of the field to the position it holds in fiction today. At many websites, (including SFFWorld, where I am a staff member), one of the most common recommendations by members for teenage newcomers to the Fantasy genre, alongside The Hobbit and Harry Potter, is the Shannara series.Throughout his writing career, Terry’s writing style has shown a number of characteristics: most prominently that his easily readable and approachable prose has also had a sense of fun running through it. A good example of this is Terry’s humorous Landover series - Magic Kingdom for Sale - Sold! (1986), The Black Unicorn (1987), Wizard at Large (1988), The Tangle Box (1994) and Witches' Brew (1995) which tell the tale of Ben Holiday, buyer of a magical kingdom with unexpected hidden complications. Part Mark Twain’s A Connecticut Yankee in King Arthur’s Court, part Baum’s Wizard of Oz, part Sprague de Camp / Fletcher Pratt’s Incomplete Enchanter, it was a series that was written whilst taking a sabbatical from writing the Shannara series. Introducing characters such as Abernathy, the court assistant (who also happens to be in the form of a dog), and Questor Thews, the inept court magician, it is an entertaining read. It is also perhaps an interesting glimpse into a turning point in Terry’s own life, as it was Magic Kingdom (Terry’s fourth book) that was the first book written by Terry as a full time writer. As the earlier part of Terry’s career was as a practicing attorney (before becoming a full-time author) it is possible to see Magic Kingdom as a protracted goodbye to his previous employment before embarking on following his dreams, albeit with a lot of fun. The books have been optioned for an (as yet unseen) movie. Another book in the series has been promised by Terry soon. At other times, Terry’s self-imposed need to broaden his resume has led to darker and more controversial works. His Word and the Void series - Running with the Demon (1997), A Knight of the Word (1998) and Angel Fire East (1999) is a series of contemporary novels initially set in the area of his birth – Illinois – where Terry spent much of his early life. Again, the theme of good against evil is prevalent. Knight of the Word John Ross and half-demon Nest Freemark use magic given to them by the Word (the embodiment of good in the world) against each other and then to prevent mankind from being overcome by the demonic forces of the Void. Here we are about as far away from the genre clichés of cute elves and cuddly dragons as we can get. The work is grittier, grimmer and very much darker than the earlier Shannara novels to this point, dealing with death, child abuse and familial and societal disintegration. At times reminiscent of the apocalyptic vision of Stephen King’s Gunslinger, but with Terry’s own vision, the work is complex and fast-paced, amalgamating fantastical magic with current (or at least Reagan-era time) society events in the US. It is my favourite series of Terry’s work to date, and predates the current popularity of urban fantasy (books by writers such as Kelley Armstrong, Jim Butcher, Laurell K. Hamilton, Charlaine Harris, Kim Harrison, Caitlín R. Kiernan, and Tanya Huff, for example) by at least a decade. Terry has also written movie novelisations for major films – for Steven Spielberg’s Hook (1991) and, more recently, George Lucas’s Star Wars: The Phantom Menace (in 1999.) This process has had a mixed reaction from Terry, though the process of novelising a key aspect of the Star Wars universe seems to have been an enjoyable one. In addition, a number of his own books have been optioned for film. Though none have yet appeared, most recently Warner Bros has bought the movie rights to the Shannara Series and may base the first movie on The Elfstones of Shannara. His latest series -  the Genesis of Shannara Trilogy, made up (so far) of Armageddon's Children (2006) and the recently published The Elves of Cintra (2007), with another book in production, ambitiously links the Shannara series with The Word and the Void series. As if this wasn’t enough, Terry’s has recently been involved in developing work which has been adapted into a graphic novel due next year. Dark Wraith of Shannara will continue the story of Jair and Kimber Boh (from the Wishsong novel.)Though Terry’s writing is clearly very important, his influence in the genre overall must also be mentioned here. Throughout the whole of his writing career, Terry has given support to new writers (like R.A. Salvatore, Greg Keyes, Philip Pullman, Eldon Thompson, and Christopher Paolini) and been an active advocate of the Fantasy genre. His first non-fiction book, titled Sometimes the Magic Works: Lessons from a Writing Life was published in 2003 and gave advice to aspiring writers based on his own experiences. Terry teaches annually at the Maui Writers Conference & Retreat and lectures extensively on writing.Throughout his writing career he has regularly attended conventions, of which Fantasycon 2007 is his latest, and is a very popular convention guest and speaker. He has a reputation for being an approachable and friendly writer with a compassion for fans and a great deal of knowledge of the genre and publishing. He maintains a regular web presence at his website, where he answers fans questions every month. Today he lives in Seattle and Hawaii, with his wife Judine.Writer, nurturer, orator, genre fan – Terry Brooks embodies many of the strengths of the Fantasy genre today. Without a doubt, his importance in the Fantasy genre is such that without his efforts over the last thirty years, the broad spectrum we call Fantasy would today be a much less interesting and entertaining one. In that context, and from the personal perspective of someone who has been reading Fantasy for over thirty years, Terry’s legacy is supreme.-------------------------------------------------------------------Hobbit",2007

68,Bluestar,2007-09-18,Another recommendation thread...,25,3000,"First I'd like to say I'm really sorry for starting another of these thread. But I have a problem. I think I am starting to give up on literature. I've been burned so often from bad books and authors recently, I think I have lost my enthusiasm. I did check out the sticky recommendation thread and clicked on most of the links, but it wasn't enough to help me.A couple of years ago I didn't mind picking up pretty much any book. Sometimes I found a gem and sometimes not, but I was always satisfied. Now... well I can't do that. I can't even get myself to finish a book unless it really really appeal to me. The only way I have found to make sure of that is by being extremely selective and only reading books that I know have my sure-win formula.It's hard to really figure what my recipe for fun is, but here's some things I can think of.The book must have some female main characters. (This is probably the most important criteria)Some sort of romance add to the appeal but it is not 100% necessary if the characters and their interactions are interesting enough.Lots of character development and interaction. This is usually more important to me than the plot itself. If I don't like the characters or find them bland I wont like the story even if it has the best plot ever.Intrigue. It can be political intrigue, it can be the ""supernatural living among us"" kind, it does not really matter, but I like intrigue and ""cloak and dagger"" stuff.I tend to like shades of grey better than black and white, but I'm ok with black and white.I am a pessimist and I get a secret thrill every time things go wrong in the world/for the characters, but that's not really necessary, it's just bonus points.I posted this in the Fantasy section, but I'd be happy with Science Fiction or even regular literature if it fit these criteria.And to help some more, here's a couple of well known books or series I read and what I thought of them.Wheel of Time: I really really liked the interactions between the characters, especially the Aes Sedai and the Elaine's Throne intrigue.Ice and Fire: Great shades of grey, realistic world with plenty of interesting characters of all sex and age. Plus bad things happen to everyone and I like that.Dresden Files: This series lack many of my criteria, but I saw a few episodes on tv, liked it and read about 4 of the novels in one weekend, since then I'm hooked. It does have the supernatural intrigue which is probably what attracted my attention in the first place.Amber Series: Started nicely, but once the amnesia was over and we knew the setting the story didn't appeal enough to me and I stopped after the third one.Sword of truth: Some people couldn't stand the preaching. What made me stop is that Richard and Khalan get separated in every novel. But I did like the characters.Shannarra: No female lead characters, didn't get through the first novel.Honor Harrington: Interesting lead female character, more realistic space fights. Getting a little repetitive but I'll stay to the end to see her adventures.Ender's Saga: The first novel was interesting enough, but it has none of my criteria and I didn't get into the other novels after the first.Mote in God's Eye: Liked the first novel, but not enough to read the second one.Xanth: I managed to get through the first 2-3 novels but it was getting way too silly and it didn't really appeal to me. Most likely I didn't like the characters enough.Myth Inc. Series: I read the whole thing, don't ask me why. Probably because it was light, entertaining and the books weren't too big.Farseer: I read the first one and found it interesting, but with no real romance or female cast in sight and not liking the direction of the story I couldn't finish the second one.William Gibson: Cyberpunk stuff always appealed to me. I liked his short stories but I never managed to get farther than a chapter or two in Neuromancer.Snow Crash: My second attempt at cyberpunk after having this author recommended. I liked the beginning of the book and even the characters and the setting, but it got weaker and more flawed as the book progressed.Well I'll stop here, but you can see from the books I gave up on what I meant when I said I was losing my enthusiasm with literature. A couple of years ago I would probably have devoured all these books even if they were not perfect to me. Can anyone help me find the flame again?Thanks!",2007

69,Wayne Batson,2007-07-04,Fan Fiction,4,3000,"This thread is for anyone who read any of The Door Within books and wanted to write a story using characters, settings, and plot elements from my books. 

aka: FanFiction​
Possible FanFiction Ideas:

• Take one of the side characters from The Door Within books and give him or her a new adventure.

• Alternate ending to one of the books

• What would have happened if (something major in the story didn't happen or was different)?

At some point, I may run a contest for Signed Copies of Future Books!

Stay tuned:

Same Bat-Time,
   Same Bat-Channel...",2007

70,pat5150,2007-06-05,40% to 50% off on a selection of SFF books!,12,1000,"Hi there!

I was just browsing on amazon.co.uk this weekend and saw that several SFF titles are heavily discounted: 40% to 50% off on books like Joe Abercrombie's The Blade Itself and Before They Are Hanged, China Miéville's Un Lun Dun, Alan Campbell's Scar Night, Steven Erikson's Reaper's Gale, Scott Lynch's The Lies of Locke Lamora and Red Seas under Red Skies, Ian Cameron Esslemont's Night of Knives, Richard Morgan's Black Man, and more. And that sale is still going strong! 

Check it out here.

Unfortunately, there is no such sale at amazon.ca and amazon.com... 

Patrick",2007

71,Takoren,2007-06-06,Never Read Feist. Should I?,24,5000,"I'm a 29-year-old male with moderately conservative viewpoints.

My favorite authors in the genres of Scifi/Fantasy are JRR Tolkien, Gene Wolfe, George RR Martin, Frank Herbert, Robert Jordan, Steven Erickson, Tad Williams, CS Lewis, JK Rowling and Stephen King (yeah, okay, he's not fantasy but he did write the Dark Tower).

I also appreciate Guy Gavriel Kay, David Eddings and Terry Brooks, even though I find their stuff a little ""lite"". Authors on my shelf that are so far unread but on my list include Jack Whyte, David Gemmell, Michael Moorcock, Dan Simmons, Orson Scott Card, Arthur C. Clarke and Roger Zelazny.

My question is, should I read Feist's stuff? Given what you now know about me, as little as it is, do you think I would enjoy him?

What are his books like? Does he tend more toward ""family"" stuff, like Eddings, or is he adult fantasy like Martin or Erickson?",2007

72,Andols,2007-06-19,What is my list missing?,24,5000,"I've compiled a list of To Read Books but am wondering if I am missing anything vital.  Please offer suggestions you consider ""Can't Miss"" material.

Heres a quick list of things I have read (Forgetting lots, will add as suggestions come that I have read)

WoT – Robert Jordan
Everything – Tad Williams
Sword of Truth – Terry Goodkind
Shannara series – Terry Brooks
Everything – Orson Scott Card
Recluse series – Modesitt
Everything – Dan Simmons
Dune – Frank Herbert
Everything – Philip K Dick
Rama Series – Clark
R/B/G Mars – Robinson
Everything – Stephen Donaldson
Dark Tower – King
asoiaf - Martin
Prince of nothing - Bakker
Everything - Heinlein
Everything - Gaiman

My To Read List:

Gormenghast Series - Mervyn Peake 
Titus Grone 
Gormenghast 
Titus Alone 

Book of the New Sun Series - Gene Wolfe 
The Shadow of the Torturer 
The Claw of the Conciliator 
The Sword of the Lictor 
The Citadel of the Autarch

Farseer trilogy - Robin Hobb 
Assasins Apprentice 
Royal Assasin 
Assasin's Quest

Earthsea cycle Series - Ursula Leguin 
A Wizard of Earthsea 
The Tombs of Atuan 
The Farthest Shore 
Tehanu 
Tales of Earthsea 
The Other Wind

Malazan Book of the Fallen Series - Steven Erikson 
Gardens of the Moon 
DeadHouse Gates 
Memories of Ice 
House of Chains 
Midnight Tides 
BoneHunter 
Dust of Dreams 
Hounds Toll 
Reapers Cale 
Crippled God 

The First Chronicles of Amber - Roger Zelazny 
Nine Princes in Amber 
The Guns of Avalon 
Sign of the Unicorn 
The Hand of Oberon 
The Courts of Chaos

Demon Princes - Jack Vance 
The Star King 
The Killing Machine 
The Palace of Love 
The Face 
The Book of Dreams

Dying Earth - Jack Vance 
Mazirian the Magician 
Cugel the Clever 
Cugel: the Skybreak Spatterlight 
Rialto the Magnificent
The Liveship Traders - Robin Hobb 
Ship of Magic 
Mad Ship 
Ship of Destiny

Greg Mandel Trilogy – Peter Hamilton
Mindstar Rising
A quantum Murder
The Nano Flower

The Nights Dawn Trilogy – Peter Hamilton
The reality dysfunction
The neutronium alchemist
The naked god

Ian Cormac Series – Neal Asher
Gridlinked
The line of  Polity
Brass Man
Polity Agent

Takeshi Kovacs series – Richard Morgan
Altered Carbon
Broken Angels
Woken Furies 

Vlad Taltos Novels - Steven Brust
Jhereg 
Yendi 
Teckla 
Taltos 
Phoenix 
Athyra 
Orca  
Dragon  
Issola 
Dzur 

Gemquest - Gary Wassner
The Twins
THe Awakening
The SHards
The Revenge of the Elves

Single Books:
Jonathan Strange and Mr Norrell - Susanna Clarke
Lord of the Light - Roger Zelazny
Perdido Street Station – China Mieville
The Scar – China Mieville
Iron Council - China Mieville
Fevre Dream - George R.R. Martin
The lies of locke lamora – Scott Lynch
The Blade Itself – Joe Abercrombie
Vellum – Hal Duncan
Ink - Hal Duncan
The Road – Cormac McCarthy
Ringworld – Larry Niven
Spin – Robert Charles Wilson",2007

73,Mark13,2007-04-26,Mieville's The Scar - Inspirational Source for The Armada Here.,30,2000,"I've long suspected Mieville got his idea for the vast city of moored ships from a story by Doug Moench and Tom Sutton in the old Planet of the Apes comic.  It was about seagoing apes and humans operating in huge city-ships.  One of the episodes involves a massive confederation of city-ships moored together, just like Armada.  

I finally found the story published on the net, so I can have visible proof.

The story is part of an original Apes series called ""Future History Chronicles""  Here's a link to the first episode of the story featuring the Armada-like city.  Scroll down to pages 4 and 5 to see a panorama of the city.

http://pota.goatley.com/comics/potauk083_part1.pdf",2007

74,mistressoftheforce,2000-09-05,Has Anyone Read The Ancient Future Triad by Traci Harding?,23,1000,Has anyone read The Ancient Future Triad and What did they think of the books?,2000

75,MDP,2005-07-04,Parrish Plessis short story and future novels,7,579,"A lot of people have asked me about ""more Parrish"", so
I've given it a thread of its own.

For those that might be interested, there is a downloadable short story at Simulacrum website - which is set between Book Two and Three and is called 'The Cure'.

Simulacrum 


Future novels? I have ideas for one more (two at the outside), but I am mindful of not destroying what already exists by dragging it out. I do however believe that the story of the war that appears set to begin at the end of Crash Deluxe needs to be told.

If you are interested in a Parrish RPG please visit Parrish's patch and contribute to the thread on it.

And I'll keep you posted on the movie possibilities.  

Now a question for all of you. How many of you would like to see stories from The Tert told from the POV of other characters eg Teece, Daac, Mei. Or do you feel that Parrish is the only one who can tell it?

best

Marianne",2005
